Name,Team,W,L,G,SV,HLD,IP,H,ER,BB,SO
Paul Skenes,PIT,13,8,30,0,0,188,146,58,55,241
Jacob deGrom,TEX,11,6,25,0,0,152,116,48,30,205
Tarik Skubal,DET,13,9,32,0,0,196,160,63,45,228
Garrett Crochet,BOS,12,8,30,0,0,170,132,57,51,220
Zack Wheeler,PHI,13,9,32,0,0,198,171,73,51,212
Chris Sale,ATL,13,7,30,0,0,186,152,63,47,229
Tyler Glasnow,LAD,10,6,24,0,0,143,116,51,40,178
Sonny Gray,STL,12,9,30,0,0,184,164,69,51,197
Cole Ragans,KCR,12,9,30,0,0,182,156,71,68,207
Dylan Cease,SDP,12,9,32,0,0,188,154,73,70,224
Corbin Burnes,ARI,12,9,30,0,0,189,178,77,53,192
Pablo López,MIN,12,10,32,0,0,193,176,77,48,202
Logan Webb,SFG,12,10,32,0,0,201,200,76,45,174
Logan Gilbert,SEA,12,10,32,0,0,198,177,76,43,208
Framber Valdez,HOU,11,9,29,0,0,184,172,70,59,177
Blake Snell,LAD,12,8,29,0,0,169,133,66,73,220
Max Fried,NYY,11,8,29,0,0,175,167,66,49,166
Sandy Alcantara,MIA,10,11,29,0,0,188,186,79,47,170
Aaron Nola,PHI,11,10,30,0,0,187,178,80,44,185
Cristopher Sánchez,PHI,11,8,29,0,0,169,163,65,47,148
Spencer Strider,ATL,9,5,22,0,0,128,99,45,42,170
Yoshinobu Yamamoto,LAD,11,7,27,0,0,157,143,62,42,164
Joe Ryan,MIN,10,9,27,0,0,159,140,66,37,177
Freddy Peralta,MIL,11,10,30,0,0,177,150,74,63,205
Michael King,SDP,11,9,30,0,0,179,156,72,64,191
Hunter Brown,HOU,10,9,29,0,0,167,152,68,57,174
Yusei Kikuchi,LAA,11,10,30,0,0,176,156,73,54,195
Shota Imanaga,CHC,11,9,29,0,0,177,165,72,38,178
George Kirby,SEA,9,9,27,0,0,158,149,62,24,150
Nathan Eovaldi,TEX,10,9,29,0,0,175,167,74,47,170
Kevin Gausman,TOR,11,10,32,0,0,193,182,84,54,192
Hunter Greene,CIN,10,10,29,0,0,172,149,79,62,204
Tanner Houck,BOS,11,10,40,0,0,182,184,80,55,162
Luis Castillo,SEA,11,10,30,0,0,184,166,74,52,187
Shane McClanahan,TBR,9,7,32,0,0,149,131,56,43,164
Justin Steele,CHC,10,9,29,0,0,168,156,67,47,164
Carlos Rodón,NYY,11,10,30,0,0,178,156,78,55,202
Spencer Schwellenbach,ATL,11,8,29,0,0,171,164,72,42,165
Reynaldo López,ATL,11,9,30,0,0,178,163,77,61,189
MacKenzie Gore,WSN,10,10,30,0,0,174,151,72,65,187
Seth Lugo,KCR,10,11,30,0,0,190,193,87,53,165
Roki Sasaki,LAD,9,6,24,0,0,135,112,53,44,165
Ranger Suárez,PHI,10,8,37,0,0,157,150,63,50,142
Brandon Woodruff,MIL,9,8,25,0,0,156,140,65,41,166
Zach Eflin,BAL,10,9,29,0,0,175,179,76,30,148
Kodai Senga,NYM,10,8,33,0,0,163,142,68,66,176
Zac Gallen,ARI,10,9,29,0,0,170,164,74,53,171
Tanner Bibee,CLE,10,10,29,0,0,173,159,74,49,178
Jack Flaherty,DET,10,10,29,0,0,169,154,70,53,178
Shohei Ohtani,LAD,8,5,21,0,0,120,101,46,38,140
Bailey Ober,MIN,10,10,29,0,0,171,160,76,42,175
Nick Lodolo,CIN,8,8,24,0,0,138,125,60,44,151
Nick Pivetta,SDP,9,9,27,0,0,155,133,66,50,178
Brayan Bello,BOS,9,9,27,0,0,155,155,70,54,141
Mitch Keller,PIT,10,11,30,0,0,182,179,85,57,164
Brady Singer,CIN,9,10,29,0,0,170,173,80,48,160
Germán Márquez,COL,8,11,27,0,0,160,174,84,52,134
Clay Holmes,NYM,10,8,46,0,0,160,150,63,65,148
Michael Wacha,KCR,9,9,27,0,0,159,158,75,47,138
Brandon Pfaadt,ARI,9,8,34,0,0,154,149,68,37,150
Chris Bassitt,TOR,10,10,30,0,0,178,172,82,60,163
José Soriano,LAA,8,8,25,0,0,148,140,64,62,144
Jesús Luzardo,PHI,9,9,39,0,0,160,145,70,54,165
Erick Fedde,ATL,9,10,29,0,0,166,166,78,52,143
Taj Bradley,MIN,10,10,29,0,0,170,156,76,57,179
Max Scherzer,TOR,7,7,27,0,0,124,112,54,30,131
Grayson Rodriguez,BAL,8,7,22,0,0,128,115,52,42,136
Reese Olson,DET,8,9,25,0,0,143,137,61,45,131
Kumar Rocker,TEX,8,7,28,0,0,132,123,56,40,133
Robbie Ray,SFG,9,9,27,0,0,160,143,69,51,173
Eduardo Rodriguez,ARI,9,8,33,0,0,153,151,68,48,141
Bryce Miller,SEA,10,10,30,0,0,177,166,77,48,170
Ryan Pepiot,TBR,9,10,29,0,0,164,149,76,60,172
Clarke Schmidt,NYY,9,8,31,0,0,146,138,66,49,140
Nestor Cortes,SDP,8,8,44,0,0,142,130,62,38,144
José Berríos,TOR,10,11,32,0,0,191,193,91,53,165
Jeffrey Springs,ATH,9,9,33,0,0,153,144,65,43,148
Sean Manaea,NYM,10,9,27,0,0,162,148,72,57,162
Drew Rasmussen,TBR,8,7,45,0,0,129,124,53,33,124
Gavin Williams,CLE,9,9,27,0,0,155,143,70,58,157
Bryan Woo,SEA,8,8,25,0,0,143,134,61,33,135
Miles Mikolas,STL,9,10,29,0,0,169,181,80,32,121
Nick Martinez,CIN,8,10,46,0,0,157,165,80,43,133
Max Meyer,MIA,7,9,32,0,0,146,147,69,49,129
Matthew Boyd,CHC,8,8,32,0,0,133,122,58,44,133
Merrill Kelly,TEX,9,8,25,0,0,152,152,70,49,140
Ryan Feltner,COL,8,11,29,0,0,168,179,91,58,145
David Peterson,NYM,9,8,31,0,0,152,144,63,59,139
Yu Darvish,SDP,8,8,24,0,0,137,129,63,38,130
Ben Brown,CHC,6,6,44,0,0,111,95,45,42,123
Jake Irvin,WSN,9,11,29,0,0,168,168,81,54,140
Luis Severino,ATH,10,11,30,0,0,182,179,86,61,159
Edward Cabrera,MIA,7,8,32,0,0,129,115,58,61,139
Ronel Blanco,HOU,9,9,27,0,0,159,150,77,66,157
Alex Cobb,DET,6,6,17,0,0,99,99,40,28,83
Reid Detmers,LAA,6,5,48,0,0,106,92,44,35,121
Aaron Civale,CHW,8,9,39,0,0,148,147,71,43,143
